NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;7:50.582;0;B;;0;;0;;0;26.3;7:50.582;08:22;;;;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;2;3:25.385;0;B;;0;;0;;0;60.3;11:15.967;08:26;;;;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;3;6:49.364;0;B;;0;;0;;0;30.2;18:05.331;08:33;;;;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;4;2:17.791;0;;57.423;0;42.201;0;38.167;0;89.8;20:23.122;08:35;0:57.423;0:42.201;0:38.167;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;5;1:56.662;2;;36.294;0;37.632;0;42.736;0;106.1;22:19.784;08:37;0:36.294;0:37.632;0:42.736;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;6;3:00.535;0;;1:47.465;0;36.521;2;36.549;0;68.6;25:20.319;08:40;1:47.465;0:36.521;0:36.549;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;7;5:56.099;0;B;34.194;0;53.726;0;4:28.179;0;34.8;31:16.418;08:46;0:34.194;0:53.726;4:28.179;;Nelson PIQUET JR;;;1;NEXTEV TCR Formula E Team;;
1;0;8;2:05.343;0;;53.981;0;37.102;0;34.260;2;98.8;33:21.761;08:48;0:53.981;0:37.102;0:34.260;;Nelson PIQUET JR;0:04:02.650;;1;NEXTEV TCR Formula E Team;;
11;0;1;2:33.601;0;;1:06.363;0;40.662;0;46.576;0;80.6;2:33.601;08:17;1:06.363;0:40.662;0:46.576;;Lucas DI GRASSI;0:00:33.195;;2;ABT Schaeffler Audi Sport;;
11;0;2;7:03.552;0;B;49.426;0;48.484;0;5:25.642;0;29.2;9:37.153;08:24;0:49.426;0:48.484;5:25.642;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;3;2:09.196;0;;52.824;0;36.884;0;39.488;0;95.8;11:46.349;08:26;0:52.824;0:36.884;0:39.488;;Lucas DI GRASSI;0:05:06.602;;2;ABT Schaeffler Audi Sport;;
11;0;4;1:45.226;0;;34.467;0;36.765;0;33.994;0;117.7;13:31.575;08:28;0:34.467;0:36.765;0:33.994;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
