NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;1:36.609;0;;27.246;0;;0;;0;69.3;1:36.609;15:10:35.728;0:27.246;;;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;2;1:11.366;0;;22.414;0;23.720;0;25.232;0;93.8;2:47.975;15:11:47.094;0:22.414;0:23.720;0:25.232;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;3;1:05.954;0;;18.582;0;22.466;0;24.906;0;101.5;3:53.929;15:12:53.048;0:18.582;0:22.466;0:24.906;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;4;1:05.527;0;;18.381;0;22.199;0;24.947;0;102.2;4:59.456;15:13:58.575;0:18.381;0:22.199;0:24.947;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;5;1:05.601;0;;18.613;0;22.170;0;24.818;0;102.1;6:05.057;15:15:04.176;0:18.613;0:22.170;0:24.818;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;6;1:05.288;0;;18.545;0;22.002;0;24.741;0;102.6;7:10.345;15:16:09.464;0:18.545;0:22.002;0:24.741;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;7;1:06.704;0;;18.504;0;23.096;0;25.104;0;100.4;8:17.049;15:17:16.168;0:18.504;0:23.096;0:25.104;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;8;1:05.014;0;;18.435;0;21.895;0;24.684;0;103.0;9:22.063;15:18:21.182;0:18.435;0:21.895;0:24.684;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;9;1:06.306;0;;18.503;0;21.967;0;25.836;0;101.0;10:28.369;15:19:27.488;0:18.503;0:21.967;0:25.836;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
1;0;10;1:04.944;0;;18.332;0;21.922;0;24.690;0;103.1;11:33.313;15:20:32.432;0:18.332;0:21.922;0:24.690;;Lucas Di Grassi;;;;Audi Sport ABT Schaeffler;;
