NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
11;0;1;1:17.522;0;;25.624;0;24.820;0;27.078;0;86.4;1:17.522;17:05:06.565;0:25.624;0:24.820;0:27.078;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;2;1:08.940;0;;20.009;0;21.659;0;27.272;0;97.1;2:26.462;17:06:15.505;0:20.009;0:21.659;0:27.272;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;3;1:08.437;0;;19.867;0;21.720;0;26.850;0;97.8;3:34.899;17:07:23.942;0:19.867;0:21.720;0:26.850;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;4;1:08.489;0;;19.773;0;22.148;0;26.568;0;97.8;4:43.388;17:08:32.431;0:19.773;0:22.148;0:26.568;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;5;1:06.557;0;;19.879;0;21.266;0;25.412;0;100.6;5:49.945;17:09:38.988;0:19.879;0:21.266;0:25.412;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;6;1:05.507;0;;18.783;0;21.140;0;25.584;0;102.2;6:55.452;17:10:44.495;0:18.783;0:21.140;0:25.584;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;7;1:21.119;0;B;18.422;0;20.428;0;42.269;0;82.5;8:16.571;17:12:05.614;0:18.422;0:20.428;0:42.269;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;8;1:09.714;0;;22.457;0;21.446;0;25.811;0;96.0;9:26.285;17:13:15.328;0:22.457;0:21.446;0:25.811;;Lucas DI GRASSI;0:00:21.688;;2;ABT Schaeffler Audi Sport;;
11;0;9;1:06.330;0;;18.777;0;21.804;0;25.749;0;100.9;10:32.615;17:14:21.658;0:18.777;0:21.804;0:25.749;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;10;1:03.648;2;;18.353;2;20.424;2;24.871;2;105.2;11:36.263;17:15:25.306;0:18.353;0:20.424;0:24.871;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;11;1:06.931;0;;19.373;0;21.732;0;25.826;0;100.0;12:43.194;17:16:32.237;0:19.373;0:21.732;0:25.826;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;12;1:06.454;0;;19.084;0;21.668;0;25.702;0;100.8;13:49.648;17:17:38.691;0:19.084;0:21.668;0:25.702;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;13;1:05.356;0;;18.788;0;21.222;0;25.346;0;102.5;14:55.004;17:18:44.047;0:18.788;0:21.222;0:25.346;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;14;1:06.391;0;;18.814;0;22.289;0;25.288;0;100.9;16:01.395;17:19:50.438;0:18.814;0:22.289;0:25.288;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;15;1:04.792;0;;18.704;0;20.900;0;25.188;0;103.3;17:06.187;17:20:55.230;0:18.704;0:20.900;0:25.188;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;16;1:04.687;0;;18.657;0;20.864;0;25.166;0;103.5;18:10.874;17:21:59.917;0:18.657;0:20.864;0:25.166;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;17;1:07.244;0;;18.612;0;22.433;0;26.199;0;99.6;19:18.118;17:23:07.161;0:18.612;0:22.433;0:26.199;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;18;1:49.845;0;B;18.828;0;22.099;0;1:08.918;0;61.0;21:07.963;17:24:57.006;0:18.828;0:22.099;1:08.918;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;19;1:45.036;0;;23.909;0;26.398;0;54.729;0;63.7;22:52.999;17:26:42.042;0:23.909;0:26.398;0:54.729;;Lucas DI GRASSI;0:00:43.722;;2;ABT Schaeffler Audi Sport;;
11;0;20;2:20.650;0;;48.154;0;46.075;0;46.421;0;47.6;25:13.649;17:29:02.692;0:48.154;0:46.075;0:46.421;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;21;1:40.161;0;;33.558;0;36.287;0;30.316;0;66.9;26:53.810;17:30:42.853;0:33.558;0:36.287;0:30.316;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;22;1:06.786;0;;19.185;0;21.786;0;25.815;0;100.3;28:00.596;17:31:49.639;0:19.185;0:21.786;0:25.815;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;23;1:06.618;0;;19.138;0;21.928;0;25.552;0;100.5;29:07.214;17:32:56.257;0:19.138;0:21.928;0:25.552;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;24;1:07.562;0;;18.922;0;22.560;0;26.080;0;99.1;30:14.776;17:34:03.819;0:18.922;0:22.560;0:26.080;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;25;1:06.049;0;;18.906;0;21.537;0;25.606;0;101.4;31:20.825;17:35:09.868;0:18.906;0:21.537;0:25.606;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;26;1:06.093;0;;18.928;0;21.471;0;25.694;0;101.3;32:26.918;17:36:15.961;0:18.928;0:21.471;0:25.694;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;27;1:05.570;0;;18.829;0;21.342;0;25.399;0;102.1;33:32.488;17:37:21.531;0:18.829;0:21.342;0:25.399;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;28;1:06.024;0;;18.894;0;21.528;0;25.602;0;101.4;34:38.512;17:38:27.555;0:18.894;0:21.528;0:25.602;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;29;1:05.565;0;;18.717;0;21.350;0;25.498;0;102.1;35:44.077;17:39:33.120;0:18.717;0:21.350;0:25.498;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;30;1:05.739;0;;18.978;0;21.231;0;25.530;0;101.9;36:49.816;17:40:38.859;0:18.978;0:21.231;0:25.530;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;31;1:06.246;0;;18.835;0;21.960;0;25.451;0;101.1;37:56.062;17:41:45.105;0:18.835;0:21.960;0:25.451;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;32;1:05.606;0;;18.902;0;21.316;0;25.388;0;102.1;39:01.668;17:42:50.711;0:18.902;0:21.316;0:25.388;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;33;1:05.626;0;;18.662;0;21.273;0;25.691;0;102.0;40:07.294;17:43:56.337;0:18.662;0:21.273;0:25.691;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;34;1:05.423;0;;18.868;0;21.069;0;25.486;0;102.3;41:12.717;17:45:01.760;0:18.868;0:21.069;0:25.486;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;35;1:05.774;0;;18.830;0;21.317;0;25.627;0;101.8;42:18.491;17:46:07.534;0:18.830;0:21.317;0:25.627;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;36;1:05.189;0;;18.674;0;21.181;0;25.334;0;102.7;43:23.680;17:47:12.723;0:18.674;0:21.181;0:25.334;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;37;1:05.490;0;;18.732;0;21.263;0;25.495;0;102.2;44:29.170;17:48:18.213;0:18.732;0:21.263;0:25.495;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;38;1:05.424;0;;18.638;0;21.235;0;25.551;0;102.3;45:34.594;17:49:23.637;0:18.638;0:21.235;0:25.551;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;39;1:05.407;0;;18.796;0;20.995;0;25.616;0;102.4;46:40.001;17:50:29.044;0:18.796;0:20.995;0:25.616;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;40;1:05.712;0;;18.691;0;21.514;0;25.507;0;101.9;47:45.713;17:51:34.756;0:18.691;0:21.514;0:25.507;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;41;1:05.574;0;;18.796;0;21.356;0;25.422;0;102.1;48:51.287;17:52:40.330;0:18.796;0:21.356;0:25.422;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;42;1:05.516;0;;18.757;0;21.145;0;25.614;0;102.2;49:56.803;17:53:45.846;0:18.757;0:21.145;0:25.614;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;43;1:05.991;0;;19.068;0;21.434;0;25.489;0;101.5;51:02.794;17:54:51.837;0:19.068;0:21.434;0:25.489;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;44;1:05.875;0;;18.926;0;21.377;0;25.572;0;101.6;52:08.669;17:55:57.712;0:18.926;0:21.377;0:25.572;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
11;0;45;1:07.106;0;;19.035;0;21.763;0;26.308;0;99.8;53:15.775;17:57:04.818;0:19.035;0:21.763;0:26.308;;Lucas DI GRASSI;;;2;ABT Schaeffler Audi Sport;;
19;0;1;1:11.947;0;;22.050;0;23.168;0;26.729;0;93.1;1:11.947;17:05:00.990;0:22.050;0:23.168;0:26.729;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;2;1:08.675;0;;19.762;0;22.827;0;26.086;0;97.5;2:20.622;17:06:09.665;0:19.762;0:22.827;0:26.086;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;3;1:05.641;0;;18.966;0;21.316;0;25.359;0;102.0;3:26.263;17:07:15.306;0:18.966;0:21.316;0:25.359;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;4;1:05.573;0;;18.905;0;21.282;0;25.386;0;102.1;4:31.836;17:08:20.879;0:18.905;0:21.282;0:25.386;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;5;1:05.190;0;;18.901;0;21.148;0;25.141;0;102.7;5:37.026;17:09:26.069;0:18.901;0:21.148;0:25.141;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;6;1:05.494;0;;19.010;0;21.039;0;25.445;0;102.2;6:42.520;17:10:31.563;0:19.010;0:21.039;0:25.445;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;7;1:06.021;0;;19.095;0;21.215;0;25.711;0;101.4;7:48.541;17:11:37.584;0:19.095;0:21.215;0:25.711;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;8;1:05.837;0;;18.907;0;21.029;0;25.901;0;101.7;8:54.378;17:12:43.421;0:18.907;0:21.029;0:25.901;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;9;1:05.235;0;;18.815;0;21.197;0;25.223;0;102.6;9:59.613;17:13:48.656;0:18.815;0:21.197;0:25.223;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;10;1:05.505;0;;18.964;0;21.084;0;25.457;0;102.2;11:05.118;17:14:54.161;0:18.964;0:21.084;0:25.457;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;11;1:05.329;0;;18.797;0;21.044;0;25.488;0;102.5;12:10.447;17:15:59.490;0:18.797;0:21.044;0:25.488;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;12;1:05.818;0;;18.996;0;21.156;0;25.666;0;101.7;13:16.265;17:17:05.308;0:18.996;0:21.156;0:25.666;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;13;1:05.394;0;;18.875;0;21.211;0;25.308;0;102.4;14:21.659;17:18:10.702;0:18.875;0:21.211;0:25.308;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;14;2:06.205;0;B;19.038;0;26.254;0;1:20.913;0;53.1;16:27.864;17:20:16.907;0:19.038;0:26.254;1:20.913;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;15;1:14.632;0;;25.816;0;22.399;0;26.417;0;89.7;17:42.496;17:21:31.539;0:25.816;0:22.399;0:26.417;;Felix ROSENQVIST;0:00:50.216;;3;Mahindra Racing;;
19;0;16;1:10.251;0;;19.161;0;23.585;0;27.505;0;95.3;18:52.747;17:22:41.790;0:19.161;0:23.585;0:27.505;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;17;1:30.641;0;;20.715;0;32.334;0;37.592;0;73.9;20:23.388;17:24:12.431;0:20.715;0:32.334;0:37.592;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;18;2:20.509;0;;28.687;0;57.610;0;54.212;0;47.7;22:43.897;17:26:32.940;0:28.687;0:57.610;0:54.212;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;19;2:19.879;0;;46.507;0;47.554;0;45.818;0;47.9;25:03.776;17:28:52.819;0:46.507;0:47.554;0:45.818;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;20;1:44.150;0;;35.956;0;37.234;0;30.960;0;64.3;26:47.926;17:30:36.969;0:35.956;0:37.234;0:30.960;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;21;1:08.358;0;;19.576;0;22.380;0;26.402;0;98.0;27:56.284;17:31:45.327;0:19.576;0:22.380;0:26.402;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;22;1:13.620;0;;22.546;0;24.814;0;26.260;0;91.0;29:09.904;17:32:58.947;0:22.546;0:24.814;0:26.260;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;23;1:09.919;0;;20.323;0;23.898;0;25.698;0;95.8;30:19.823;17:34:08.866;0:20.323;0:23.898;0:25.698;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;24;1:07.520;0;;19.404;0;21.871;0;26.245;0;99.2;31:27.343;17:35:16.386;0:19.404;0:21.871;0:26.245;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;25;1:08.160;0;;19.006;0;22.305;0;26.849;0;98.2;32:35.503;17:36:24.546;0:19.006;0:22.305;0:26.849;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;26;1:06.156;0;;19.006;0;21.525;0;25.625;0;101.2;33:41.659;17:37:30.702;0:19.006;0:21.525;0:25.625;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;27;1:12.593;0;;19.971;0;26.275;0;26.347;0;92.2;34:54.252;17:38:43.295;0:19.971;0:26.275;0:26.347;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;28;1:05.663;0;;18.216;0;21.218;0;26.229;0;102.0;35:59.915;17:39:48.958;0:18.216;0:21.218;0:26.229;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;29;1:13.750;0;;21.078;0;23.858;0;28.814;0;90.8;37:13.665;17:41:02.708;0:21.078;0:23.858;0:28.814;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;30;1:03.266;0;;18.288;0;20.456;0;24.522;0;105.8;38:16.931;17:42:05.974;0:18.288;0:20.456;0:24.522;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;31;1:17.381;0;;22.585;0;28.313;0;26.483;0;86.5;39:34.312;17:43:23.355;0:22.585;0:28.313;0:26.483;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;32;1:03.275;0;;18.358;0;20.356;0;24.561;0;105.8;40:37.587;17:44:26.630;0:18.358;0:20.356;0:24.561;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;33;1:28.450;0;;23.408;0;31.369;0;33.673;0;75.7;42:06.037;17:45:55.080;0:23.408;0:31.369;0:33.673;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;34;1:04.981;0;;18.217;0;20.194;2;26.570;0;103.0;43:11.018;17:47:00.061;0:18.217;0:20.194;0:26.570;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;35;1:28.539;0;;23.343;0;36.642;0;28.554;0;75.6;44:39.557;17:48:28.600;0:23.343;0:36.642;0:28.554;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;36;1:02.947;3;;18.214;3;20.237;0;24.496;2;106.4;45:42.504;17:49:31.547;0:18.214;0:20.237;0:24.496;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;37;1:20.717;0;;22.941;0;27.519;0;30.257;0;83.0;47:03.221;17:50:52.264;0:22.941;0:27.519;0:30.257;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;38;1:20.379;0;;27.258;0;26.168;0;26.953;0;83.3;48:23.600;17:52:12.643;0:27.258;0:26.168;0:26.953;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;39;1:06.874;0;;19.383;0;21.636;0;25.855;0;100.1;49:30.474;17:53:19.517;0:19.383;0:21.636;0:25.855;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;40;1:06.041;0;;19.260;0;21.320;0;25.461;0;101.4;50:36.515;17:54:25.558;0:19.260;0:21.320;0:25.461;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;41;1:05.899;0;;19.008;0;21.068;0;25.823;0;101.6;51:42.414;17:55:31.457;0:19.008;0:21.068;0:25.823;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;42;1:07.162;0;;19.171;0;22.214;0;25.777;0;99.7;52:49.576;17:56:38.619;0:19.171;0:22.214;0:25.777;;Felix ROSENQVIST;;;3;Mahindra Racing;;
19;0;43;1:14.698;0;;20.008;0;26.124;0;28.566;0;89.6;54:04.274;17:57:53.317;0:20.008;0:26.124;0:28.566;;Felix ROSENQVIST;;;3;Mahindra Racing;;
2;0;1;1:08.898;0;;20.698;0;22.219;0;25.981;0;97.2;1:08.898;17:04:57.941;0:20.698;0:22.219;0:25.981;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;2;1:07.902;0;;19.457;0;22.102;0;26.343;0;98.6;2:16.800;17:06:05.843;0:19.457;0:22.102;0:26.343;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;3;1:06.332;0;;19.168;0;21.420;0;25.744;0;100.9;3:23.132;17:07:12.175;0:19.168;0:21.420;0:25.744;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;4;1:05.637;0;;18.981;0;21.207;0;25.449;0;102.0;4:28.769;17:08:17.812;0:18.981;0:21.207;0:25.449;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;5;1:05.415;0;;18.747;0;21.181;0;25.487;0;102.4;5:34.184;17:09:23.227;0:18.747;0:21.181;0:25.487;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;6;1:05.278;0;;18.906;0;21.039;0;25.333;0;102.6;6:39.462;17:10:28.505;0:18.906;0:21.039;0:25.333;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;7;1:04.909;0;;18.756;0;20.948;0;25.205;0;103.2;7:44.371;17:11:33.414;0:18.756;0:20.948;0:25.205;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;8;1:04.545;0;;18.679;0;20.791;0;25.075;0;103.7;8:48.916;17:12:37.959;0:18.679;0:20.791;0:25.075;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;9;1:04.450;0;;18.689;0;20.674;0;25.087;0;103.9;9:53.366;17:13:42.409;0:18.689;0:20.674;0:25.087;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;10;1:04.389;0;;18.738;0;20.689;0;24.962;0;104.0;10:57.755;17:14:46.798;0:18.738;0:20.689;0:24.962;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;11;1:04.524;0;;18.648;0;20.846;0;25.030;0;103.8;12:02.279;17:15:51.322;0:18.648;0:20.846;0:25.030;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;12;1:04.537;0;;18.677;0;20.757;0;25.103;0;103.8;13:06.816;17:16:55.859;0:18.677;0:20.757;0:25.103;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;13;1:04.481;0;;18.597;0;20.756;0;25.128;0;103.8;14:11.297;17:18:00.340;0:18.597;0:20.756;0:25.128;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;14;1:04.259;0;;18.555;0;20.697;0;25.007;0;104.2;15:15.556;17:19:04.599;0:18.555;0:20.697;0:25.007;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;15;1:04.382;0;;18.728;0;20.708;0;24.946;0;104.0;16:19.938;17:20:08.981;0:18.728;0:20.708;0:24.946;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;16;1:04.370;0;;18.645;0;20.679;0;25.046;0;104.0;17:24.308;17:21:13.351;0:18.645;0:20.679;0:25.046;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;17;1:05.819;0;;18.688;0;21.668;0;25.463;0;101.7;18:30.127;17:22:19.170;0:18.688;0:21.668;0:25.463;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;18;1:10.061;0;;18.600;0;22.250;0;29.211;0;95.6;19:40.188;17:23:29.231;0:18.600;0:22.250;0:29.211;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;19;2:51.777;0;;46.741;0;1:08.936;0;56.100;0;39.0;22:31.965;17:26:21.008;0:46.741;1:08.936;0:56.100;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;20;2:22.971;0;;43.238;0;50.257;0;49.476;0;46.8;24:54.936;17:28:43.979;0:43.238;0:50.257;0:49.476;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;21;1:47.811;0;;38.394;0;39.414;0;30.003;0;62.1;26:42.747;17:30:31.790;0:38.394;0:39.414;0:30.003;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;22;1:05.711;0;;19.192;0;21.299;0;25.220;0;101.9;27:48.458;17:31:37.501;0:19.192;0:21.299;0:25.220;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;23;1:04.567;0;;18.708;0;20.981;0;24.878;0;103.7;28:53.025;17:32:42.068;0:18.708;0:20.981;0:24.878;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;24;1:04.768;0;;18.671;0;20.988;0;25.109;0;103.4;29:57.793;17:33:46.836;0:18.671;0:20.988;0:25.109;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;25;2:29.960;0;B;18.955;0;21.624;0;1:49.381;0;44.7;32:27.753;17:36:16.796;0:18.955;0:21.624;1:49.381;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;26;1:07.719;0;;22.018;0;20.933;0;24.768;0;98.9;33:35.472;17:37:24.515;0:22.018;0:20.933;0:24.768;;Sam BIRD;0:01:29.289;;2;DS Virgin Racing;;
2;0;27;1:05.070;0;;18.951;0;21.187;0;24.932;0;102.9;34:40.542;17:38:29.585;0:18.951;0:21.187;0:24.932;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;28;1:05.138;0;;18.676;0;21.517;0;24.945;0;102.8;35:45.680;17:39:34.723;0:18.676;0:21.517;0:24.945;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;29;1:04.524;0;;18.663;0;20.831;0;25.030;0;103.8;36:50.204;17:40:39.247;0:18.663;0:20.831;0:25.030;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;30;1:04.440;0;;18.807;0;20.747;0;24.886;0;103.9;37:54.644;17:41:43.687;0:18.807;0:20.747;0:24.886;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;31;1:04.150;0;;18.770;0;20.636;0;24.744;0;104.4;38:58.794;17:42:47.837;0:18.770;0:20.636;0:24.744;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;32;1:05.690;0;;18.837;0;21.367;0;25.486;0;101.9;40:04.484;17:43:53.527;0:18.837;0:21.367;0:25.486;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;33;1:05.898;0;;19.186;0;21.145;0;25.567;0;101.6;41:10.382;17:44:59.425;0:19.186;0:21.145;0:25.567;;Sam BIRD;;;2;DS Virgin Racing;;
2;0;34;1:04.398;0;;18.881;0;20.569;0;24.948;0;104.0;42:14.780;17:46:03.823;0:18.881;0:20.569;0:24.948;;Sam BIRD;;;2;DS Virgin Racing;;
