,NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,KPH,ELAPSED,HOUR,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,AIR_TEMP,TRACK_TEMP,WIND_SPEED,WIND_DIRECTION
0,19,1,4:21.568,0,21.2,4:21.568,2020-11-10 12:04:21.568,Felix ROSENQVIST,0:03:05.261,,1,Mahindra Racing,,14.4444,20.5556,1.06093,252.0
1,19,2,1:12.301,0,95.6,5:33.869,2020-11-10 12:05:33.869,Felix ROSENQVIST,,,1,Mahindra Racing,,,,,
2,19,3,1:02.012,2,111.5,6:35.881,2020-11-10 12:06:35.881,Felix ROSENQVIST,,,1,Mahindra Racing,,14.4444,20.5556,2.1218649999999997,222.5
3,2,1,4:23.352,0,21.1,4:23.352,2020-11-10 12:04:23.352,Sam BIRD,0:03:10.461,,1,DS Virgin Racing,,14.4444,20.5556,1.06093,252.0
4,2,2,1:18.251,0,88.3,5:41.603,2020-11-10 12:05:41.603,Sam BIRD,,,1,DS Virgin Racing,,,,,
5,2,3,1:01.771,2,111.9,6:43.374,2020-11-10 12:06:43.374,Sam BIRD,,,1,DS Virgin Racing,,14.4444,20.5556,2.1218649999999997,222.5
6,25,1,4:15.733,0,21.7,4:15.733,2020-11-10 12:04:15.733,Jean-Eric VERGNE,0:02:53.291,,1,TECHEETAH,,14.4444,20.5556,1.06093,252.0
7,25,2,1:11.488,0,96.7,5:27.221,2020-11-10 12:05:27.221,Jean-Eric VERGNE,,,1,TECHEETAH,,,,,
8,25,3,1:01.508,4,112.4,6:28.729,2020-11-10 12:06:28.729,Jean-Eric VERGNE,,,1,TECHEETAH,,14.4444,20.5556,3.1828,193.0
9,66,1,4:10.496,0,22.1,4:10.496,2020-11-10 12:04:10.496,Daniel ABT,0:02:47.331,,1,Audi Sport ABT Schaeffler,,14.4444,20.5556,1.06093,252.0
10,66,2,1:12.414,0,95.5,5:22.910,2020-11-10 12:05:22.910,Daniel ABT,,,1,Audi Sport ABT Schaeffler,,,,,
11,66,3,1:02.125,2,111.3,6:25.035,2020-11-10 12:06:25.035,Daniel ABT,,,1,Audi Sport ABT Schaeffler,,14.4444,20.5556,3.1828,193.0
12,9,1,4:35.828,0,20.1,4:35.828,2020-11-10 12:04:35.828,Sébastien BUEMI,0:03:20.071,,1,Renault e.dams,,14.4444,20.5556,3.1828,193.0
13,9,2,1:11.676,0,96.4,5:47.504,2020-11-10 12:05:47.504,Sébastien BUEMI,,,1,Renault e.dams,,14.4444,20.5556,3.1828,193.0
14,9,3,1:01.837,2,111.8,6:49.341,2020-11-10 12:06:49.341,Sébastien BUEMI,,,1,Renault e.dams,,14.4444,20.5556,2.1218649999999997,222.5
15,1,1,3:31.757,0,26.2,3:31.757,2020-11-10 12:13:31.757,Lucas DI GRASSI,0:02:16.574,,2,Audi Sport ABT Schaeffler,,14.7778,20.5556,3.1828,215.0
16,1,2,1:12.115,0,95.8,4:43.872,2020-11-10 12:14:43.872,Lucas DI GRASSI,,,2,Audi Sport ABT Schaeffler,,,,,
17,1,3,1:01.823,2,111.8,5:45.695,2020-11-10 12:15:45.695,Lucas DI GRASSI,,,2,Audi Sport ABT Schaeffler,,14.80555,20.5556,3.1828,259.5
18,16,1,3:45.460,0,24.6,3:45.460,2020-11-10 12:13:45.460,Oliver TURVEY,0:02:27.734,,2,NIO Formula E Team,,14.8333,20.5556,3.1828,304.0
19,16,2,1:13.034,0,94.6,4:58.494,2020-11-10 12:14:58.494,Oliver TURVEY,,,2,NIO Formula E Team,,14.8333,20.5556,3.1828,304.0
20,16,3,1:01.888,2,111.7,6:00.382,2020-11-10 12:16:00.382,Oliver TURVEY,,,2,NIO Formula E Team,,14.80555,20.5556,3.1828,259.5
21,18,1,3:20.700,0,27.6,3:20.700,2020-11-10 12:13:20.700,André LOTTERER,0:02:05.749,,2,TECHEETAH,,14.7778,20.5556,3.1828,215.0
22,18,2,1:09.588,0,99.3,4:30.288,2020-11-10 12:14:30.288,André LOTTERER,,,2,TECHEETAH,,,,,
23,18,3,1:01.818,3,111.8,5:32.106,2020-11-10 12:15:32.106,André LOTTERER,,,2,TECHEETAH,,14.8333,20.5556,3.1828,304.0
24,20,1,3:41.827,0,25.0,3:41.827,2020-11-10 12:13:41.827,Mitch EVANS,0:02:24.775,,2,Panasonic Jaguar Racing,,14.7778,20.5556,3.1828,215.0
25,20,2,1:08.348,0,101.1,4:50.175,2020-11-10 12:14:50.175,Mitch EVANS,,,2,Panasonic Jaguar Racing,,,,,
26,20,3,1:02.122,2,111.3,5:52.297,2020-11-10 12:15:52.297,Mitch EVANS,,,2,Panasonic Jaguar Racing,,14.80555,20.5556,3.1828,259.5
27,23,1,4:29.905,0,20.5,4:29.905,2020-11-10 12:24:29.905,Nick HEIDFELD,0:03:19.690,,3,Mahindra Racing,,14.9444,21.1111,3.1828,257.0
28,23,2,1:13.505,0,94.0,5:43.410,2020-11-10 12:25:43.410,Nick HEIDFELD,,,3,Mahindra Racing,,,,,
29,23,3,1:02.058,2,111.4,6:45.468,2020-11-10 12:26:45.468,Nick HEIDFELD,,,3,Mahindra Racing,,14.9444,21.1111,2.1218649999999997,175.5
30,28,1,1:43.302,0,53.7,1:43.302,2020-11-10 12:21:43.302,Antonio Felix DA COSTA,0:00:21.013,,3,Andretti Formula E,,15.1667,21.1111,10.6093,249.0
31,28,2,1:15.458,0,91.6,2:58.760,2020-11-10 12:22:58.760,Antonio Felix DA COSTA,,,3,Andretti Formula E,,,,,
32,28,3,1:01.563,3,112.3,4:00.323,2020-11-10 12:24:00.323,Antonio Felix DA COSTA,,,3,Andretti Formula E,,,,,
33,36,1,1:49.091,0,50.8,1:49.091,2020-11-10 12:21:49.091,Alex LYNN,0:00:18.852,,3,DS Virgin Racing,,15.1667,21.1111,10.6093,249.0
34,36,2,1:19.450,0,87.0,3:08.541,2020-11-10 12:23:08.541,Alex LYNN,,,3,DS Virgin Racing,,,,,
35,36,3,1:02.139,2,111.2,4:10.680,2020-11-10 12:24:10.680,Alex LYNN,,,3,DS Virgin Racing,,,,,
36,4,1,1:37.679,0,56.8,1:37.679,2020-11-10 12:21:37.679,Edoardo MORTARA,0:00:22.141,,3,Venturi Formula E Team,,15.2222,21.1111,1.06093,221.0
37,4,2,1:11.385,0,96.8,2:49.064,2020-11-10 12:22:49.064,Edoardo MORTARA,,,3,Venturi Formula E Team,,,,,
38,4,3,1:02.834,2,110.0,3:51.898,2020-11-10 12:23:51.898,Edoardo MORTARA,,,3,Venturi Formula E Team,,,,,
